date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:45	1473/1473	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Aug%202023%2010:01:46%20GMT	https://js-css-portfolio-project.vercel.app/robots.txt		(from )
15:01:45	26197/26197	---MCZ	200	added ('OK')	text/html	etag:W/%22f7e358837d4284c7baf760e617fe7277%22	https://js-css-portfolio-project.vercel.app/	C:/Users/ShahrukhIqbal/Desktop/hacking/My-Websites/portfolio/js-css-portfolio-project.vercel.app/index.html	(from )
15:01:46	19882/19882	---MCZ	200	added ('OK')	text/css	etag:W/%22ec636c0bddc101144116e67597d035e8%22	https://js-css-portfolio-project.vercel.app/styles/styles.css	C:/Users/ShahrukhIqbal/Desktop/hacking/My-Websites/portfolio/js-css-portfolio-project.vercel.app/styles/styles.css	(from https://js-css-portfolio-project.vercel.app/)
15:01:46	59305/59305	---M-Z	200	added ('OK')	text/css	etag:%226497b66b-3171%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	C:/Users/ShahrukhIqbal/Desktop/hacking/My-Websites/portfolio/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	(from https://js-css-portfolio-project.vercel.app/)
15:01:46	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Aug%202023%2010:01:47%20GMT	https://fonts.googleapis.com/	C:/Users/ShahrukhIqbal/Desktop/hacking/My-Websites/portfolio/fonts.googleapis.com/index.html	(from https://js-css-portfolio-project.vercel.app/)
15:01:46	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Aug%202023%2010:01:47%20GMT	https://fonts.gstatic.com/	C:/Users/ShahrukhIqbal/Desktop/hacking/My-Websites/portfolio/fonts.gstatic.com/index.html	(from https://js-css-portfolio-project.vercel.app/)
15:01:46	1021/1021	---MC-	200	added ('OK')	text/css	date:Wed,%2030%20Aug%202023%2010:01:48%20GMT	https://fonts.googleapis.com/css2?family=Poppins:wght@400;500;600;700;800&display=swap	C:/Users/ShahrukhIqbal/Desktop/hacking/My-Websites/portfolio/fonts.googleapis.com/css27e83.css	(from https://js-css-portfolio-project.vercel.app/)
15:01:48	210223/210223	---M--	200	added ('OK')	image/png	etag:%22351cec9480d6df7377b0b72b968976f1%22	https://js-css-portfolio-project.vercel.app/img/hero.png	C:/Users/ShahrukhIqbal/Desktop/hacking/My-Websites/portfolio/js-css-portfolio-project.vercel.app/img/hero.png	(from https://js-css-portfolio-project.vercel.app/)
15:01:48	56692/56692	---M--	200	added ('OK')	image/jpeg	etag:%229515029d56ac1fdfaa87479011cf46be%22	https://js-css-portfolio-project.vercel.app/img/port1.jpg	C:/Users/ShahrukhIqbal/Desktop/hacking/My-Websites/portfolio/js-css-portfolio-project.vercel.app/img/port1.jpg	(from https://js-css-portfolio-project.vercel.app/)
15:01:49	58222/58222	---M--	200	added ('OK')	image/jpeg	etag:%221791722ed3a117a2b6904f0565bb0f24%22	https://js-css-portfolio-project.vercel.app/img/port3.jpg	C:/Users/ShahrukhIqbal/Desktop/hacking/My-Websites/portfolio/js-css-portfolio-project.vercel.app/img/port3.jpg	(from https://js-css-portfolio-project.vercel.app/)
15:01:49	93023/93023	---M--	200	added ('OK')	image/jpeg	etag:%22455fae6c4e40a90271f68550e4e41cff%22	https://js-css-portfolio-project.vercel.app/img/port2.jpg	C:/Users/ShahrukhIqbal/Desktop/hacking/My-Websites/portfolio/js-css-portfolio-project.vercel.app/img/port2.jpg	(from https://js-css-portfolio-project.vercel.app/)
15:01:50	70277/70277	---M--	200	added ('OK')	image/jpeg	etag:%22f2b93162a5fe89258ce41d387d452c3d%22	https://js-css-portfolio-project.vercel.app/img/port4.jpg	C:/Users/ShahrukhIqbal/Desktop/hacking/My-Websites/portfolio/js-css-portfolio-project.vercel.app/img/port4.jpg	(from https://js-css-portfolio-project.vercel.app/)
